Menu item,Meal Type,Food Type
Crème dessert chocolat,dessert,Sucre blanc
Riz,Accompagnement,Riz
Sauté de porc aigre douce,Plat,Porc
Sauté de dinde aigre douce,Plat,Volaille
Concombres crème,Entrée,legumes autres
CCAS\xa0: autre fromage,Fromage,Fromage
Salade de pâtes,Entrée,Blé Seigle
pot au feu de boeuf,Plat,Boeuf
Putée 3 légumes,Accompagnement,legumes autres
légumes pot au feu,Accompagnement,legumes autres
filet de lieu,Plat,Poissons
Fromage blanc coco,dessert,Lait
Chanteneige,Fromage,Fromage
Banane,dessert,Banane
Salade de maïs et tomates,Entrée,Tomates
plateau de fromage,Fromage,Fromage
Saucisses de volaille bio,Plat,Volaille
Pomme,dessert,fruits autre
Clafoutis dautomne au butternut C pierre Clot,Plat,type chou
marmelade de pommes ( agro),dessert,fruits autre
Saucisses de Toulouse bio,Plat,Porc
camembert,Fromage,Fromage
Filet de poisson meunière,Plat,Poissons
Yaourt fermier bio / rhubarbe,dessert,Lait
purée de potimarron Collet,Accompagnement,legumes racines
CCAS\xa0: conserve poisson Meunière,Plat,Poissons
Salade aux noix,Entrée,legumes autres
Filet mignon de porc,Plat,Porc
Potage de légumes,Entrée,legumes autres
frites,Accompagnement,pomme de terre
omelette,Entrée,oeufs
gruyere,Fromage,Fromage
CCAS\xa0: poisson frais,Plat,Poissons
salade verte,Accompagnement,legumes autres
Pruneaux au sirop,dessert,fruits autre
flan de poireaux maison,Entrée,Poireau
Carottes râpées bio,Entrée,legumes racines
poire,dessert,fruits autre
plateau de fromage,Fromage,Fromage
Yaourt mixé fruix,dessert,Lait
Pamplemousse,Entrée,agrumes
Salade de mâche,Entrée,legumes autres
Hachis Parmentier,Plat,Boeuf
jambon fumé,Entrée,Porc
ccas\xa0: crevettes mayonnaise,Entrée,Crustacés
Mogettes de Vendée,Accompagnement,Legumineuse autre
Radis/beurre,Entrée,legumes racines
Liégeois choco,dessert,Sucre blanc
Emincé de dinde,Plat,Volaille
Brocolis,Accompagnement,type chou
Banane,dessert,Banane
StPaulin,Fromage,Fromage
Potage potiron / croûton,Entrée,type chou
Petits poissons panés,Plat,Poissons
frites,Accompagnement,pomme de terre
râble de lapin aux herbes,Plat,Lapin
CCAS\xa0: poisson pané  autre grammage,Plat,Poissons
Carottes râpées bio,Entrée,legumes racines
Riz au lait maison,dessert,Riz
Tomme noire,Fromage,Fromage
tarte aux fruits,dessert,fruits autre
Ratatouille agro,Accompagnement,legumes autres
pâté de campagne / cornoichons,Entrée,Porc
Tarte au fromage,Plat,Fromage
Poulet confit,Plat,Volaille
Clémentines,dessert,agrumes
Petits pois maraîchers,Accompagnement,legumes autres
Pomme bio,dessert,fruits autre
Purée de légumes verts,Accompagnement,legumes autres
Poisson beurre blanc,Plat,Poissons
Gouda,Fromage,Fromage
concombres),Entrée,legumes autres
tomates,Accompagnement,Tomates
Salade carnaval (Maïs,Entrée,Mais
Flan caramel,Dessert,Lait
Pommes noisettes,Accompagnement,pomme de terre
ccas : potage de légumes,Entrée,legumes autres
Sauté de veau chasseur,Plat,Boeuf
Choux blancs/mimolette,Accompagnement,type chou
Yaourt aro,Fromage,Lait
flan patissier,Dessert,Lait
pamplemousse,Dessert,agrumes
Mâche/demi-oeuf,Entrée,oeufs
Pâtes,Accompagnement,Blé Seigle
jardinière de légumes,Accompagnement,legumes autres
Steak de soja+sauce tomate,Plat,Soja et composé
sauté dagneau,Plat,Agneau
plateau de fromage,Fromage,Fromage
Sauté de dinde sauce aigre douce,Plat,Volaille
Tomme blanche,Fromage,Fromage
banane,Dessert,Banane
Poêlée de légumes Collet,Accompagnement,legumes autres
Potage tomate/vermicelle,Entrée,Tomates
Concombres à la crème,Entrée,Concombre
Rôti de boeuf,Plat,Boeuf
Haricots verts/haricots beurre  coupés,Accompagnement,Legumineuse autre
Eclair chocolat,Dessert,Lait
Chanteneige,Dessert,Lait
ketchup,Accompagnement,Tomates
CCAS:salade coleslaw,Entrée,type chou
Marmelade de pommes,Dessert,fruits autre
Saucisse de Toulouse bio,Plat,Porc
Pizza au fromage,Plat,Fromage
Crème vanille,Dessert,Lait
ccas : poisson frais sce poivre,Plat,Poissons
CCAS : poireaux creme,Entrée,Poireau
fromage blanc 1 kg,Fromage,Lait
Betteraves / dés de chèvre,Entrée,legumes racines
saumon fumée / sce creme,Entrée,Poissons
salade verte,Entrée,legumes autres
Parmentier de poisson,Plat,Poissons
Poire,Dessert,fruits autre
Salade verte,Entrée,legumes autres
hachis parmentier maison,Plat,pomme de terre
Ile flottante,Dessert,Lait
Carottes râpées bio,Entrée,legumes racines
Salade verte,Entrée,legumes autres
Lasagnes,Plat,Blé Seigle
Rôti de dinde,Plat,Volaille
Radis/beurre,Entrée,legumes racines
Yaourt brassé bio,Fromage,Lait
Purée de pommes de terre,Accompagnement,pomme de terre
Boeuf braisé,Plat,Boeuf
Endives / surimi,Entrée,legumes autres
Gratin de choux fleurs,Accompagnement,type chou
Tarte au citron,Dessert,fruits autre
Belle de Nantes,Accompagnement,pomme de terre
Haché de colin Assiette Bleue,Plat,Poissons
Crêpe au fromage,Plat,Fromage
Clémentines,Dessert,agrumes
Camembert,Fromage,Fromage
Ratatouille agro,Accompagnement,legumes autres
Sauté de porc à la moutarde,Plat,Porc
Pomme bio,Dessert,fruits autre
Palets brocolis/carottes,Accompagnement,legumes autres
Cantal,Fromage,Fromage
Salade de pâtes,Entrée,Blé Seigle
Danette goûter/lait,Dessert,Lait
Poisson à la niçoise,Plat,Poissons
Pommes rissolées,Accompagnement,pomme de terre
Chou rouge râpé,Entrée,type chou
Salade verte au thon,Entrée,legumes autres
Fromage blanc / miel,Dessert,Lait
Blanquette de veau,Plat,Boeuf
Riz,Accompagnement,Riz
Omelette,Plat,oeufs
Potage légumes/croûtons,Entrée,legumes autres
Banane,Dessert,Banane
Courgettes à la tomate,Accompagnement,legumes autres
Chaussée aux moines,Fromage,Fromage
Paëlla au poulet,Plat,Riz
Yaourt aro,Fromage,Lait
et fruits de mer,Accompagnement,Crustacés
Mâche / demi-oeuf,Entrée,oeufs
Boulettes de boeuf sauce poivre,Plat,Boeuf
Pâtes,Accompagnement,Blé Seigle
Pamplemousse,Dessert,agrumes
Flan choco,Dessert,Lait
Rôti de porc,Plat,Porc
Fromage Blanc,Fromage,Lait
Fromage bio,Fromage,Fromage
marmelade de pommes,Dessert,fruits autre
Clémentines,Dessert,agrumes
Taboulé,Entrée,Blé Seigle
Carottes,Accompagnement,legumes racines
Poisson beurre blanc,Plat,Poissons
Choux blanc / mimolette,Accompagnement,type chou
Lait bio,Fromage,Lait
Kiwi bio,Dessert,fruits autre
Pizza,Plat,Fromage
Haché de volaille,Plat,Volaille
Épinards à la crème,Accompagnement,legumes autres
Edam,Fromage,Fromage
Purée de légumes verts,Accompagnement,legumes autres
Ananas,Dessert,fruits autre
Salade de betteraves,Entrée,legumes racines
Tomme Belle de Nantes,Fromage,Fromage
Poisson pané,Plat,Poissons
Salade perles et saumon,Entrée,Poissons
Paupiette de poulet,Plat,Volaille
Chantilly,Dessert,Lait
sauce cranberries,Accompagnement,fruits autre
Noël au Canada,Plat,Volaille
Potatoes Wedg Skin,Accompagnement,pomme de terre
Pancake,Plat,Blé Seigle
Jus dorange,Boisson,agrumes
Sirop dérable,Condiment,Sucre Cannes
Riz basmati,Accompagnement,Riz
Chili de légumes,Plat,legumes autres
REPAS POUR LA PLANETE,Plat,legumes autres
Concombres,Entrée,Concombre
Yaourt bio,Fromage,Lait
Crème dessert vanille,Dessert,Lait
Hachis parmentier,Plat,pomme de terre
Oeufs durs mayo,Entrée,oeufs
Salade de mâche,Entrée,legumes autres
Jambon fumé,Plat,Porc
Lentilles bio,Accompagnement,Legumineuse autre
Pamplemousse,Dessert,agrumes
Gervais maxi fraise,Fromage,Lait
cornichons,Accompagnement,Concombre
Rôti de dinde,Plat,Volaille
Tomme noire,Fromage,Fromage
Clémentines,Dessert,agrumes
Ratatouille agro,Accompagnement,legumes autres
Pâté bio,Entrée,Porc
Fondu au chèvre,Fromage,Fromage
Galette des rois avec chocolat,Dessert,Blé Seigle
Haché de poisson,Plat,Poissons
Carottes râpées bio,Entrée,legumes racines
Epinards à la creme,Accompagnement,legumes autres
Sauté de porc à la moutarde,Plat,Porc
Potage légumes / croûtons,Entrée,legumes autres
Edam,Fromage,Fromage
Gouda,Fromage,Fromage
Banane,Dessert,Banane
Poêlée de légumes Collet,Accompagnement,legumes autres
Poisson meunière,Plat,Poissons
Pizza,Plat,Fromage
Poire,Dessert,fruits autre
brocolis à la crème,Accompagnement,legumes autres
Flan caramel,Dessert,Lait
Rôti de boeuf,Plat,Boeuf
Chou rave râpé,Entrée,type chou
Frites,Accompagnement,pomme de terre
Yaourt fermier bio,Fromage,Lait
Salade au thon,Entrée,Poissons
Riz basmati,Accompagnement,Riz
Steak de soja sauce tomate,Plat,Soja et composé
Endives/demi-oeuf,Entrée,oeufs
Petits pois,Accompagnement,Legumineuse autre
semoule au lait,Dessert,Blé Seigle
Haché de poulet,Plat,Volaille
Sauté de veau,Plat,Boeuf
Purée de légumes verts,Accompagnement,legumes autres
Salade de lentilles bio (Lentilles bio,Entrée,Legumineuse autre
Mimolette,Fromage,Fromage
maïs,Accompagnement,Mais
surimi),Accompagnement,Crustacés
Kiwi bio,Dessert,fruits autre
Timbale de pâtes,Plat,Blé Seigle
aux lardons et râpé,Accompagnement,Porc
Ile flottante,Dessert,Lait
Concombres à la vinaigrette,Entrée,Concombre
Pomme bio,Dessert,fruits autre
Poisson beurre blanc,Plat,Poissons
Belle de Nantes,Accompagnement,pomme de terre
Betteraves,Entrée,legumes racines
Ananas chantilly,Dessert,fruits autre
Mâche au chèvre,Entrée,Fromage
Poulet dAncenis,Plat,Volaille
Purée de pommes de terre,Accompagnement,pomme de terre
Choux fleurs au gratin ( agro),Accompagnement,type chou
Sauté de boeuf BBC,Plat,Boeuf
Eclair chocolat,Dessert,Lait
Carottes râpées bio,Entrée,legumes racines
Chaussée aux moines,Fromage,Fromage
Crêpe au fromage,Plat,Fromage
Edam,Fromage,Fromage
Poisson pané,Plat,Poissons
Clémentines,Dessert,agrumes
ratatouille agro,Accompagnement,legumes autres
Tarte au fromage,Plat,Fromage
Orange,Dessert,agrumes
Pilon de poulet confit,Plat,Volaille
Petits pois,Accompagnement,Legumineuse autre
Choux rouges bio,Entrée,type chou
Lait bio,Fromage,Lait
Riz,Accompagnement,Riz
Poisson aux petits légumes,Plat,Poissons
Crêpe /confiture muroise bio,Dessert,Blé Seigle
Fromage blanc/abricots secs,Dessert,Lait
Lasagnes,Plat,Pâtes
Salade verte,Accompagnement,Salade
Concombres vgte,Entrée,Concombre
Potage potiron,Entrée,Légumes
Tortilla,Plat,Oeufs
Banane,Dessert,Banane
Camembert,Fromage,Fromage
Courgettes à la tomate,Accompagnement,Légumes
Potage aux légumes,Entrée,Légumes
Flan caramel,Dessert,Oeufs
Lasagnes,Plat,Pâtes
Salade de mâche,Entrée,Salade
Galette brocolis / carottes,Plat,Légumes
sauce poivre,Accompagnement,Sauce
jambon de dinde,Plat,Volaille
jambon fumée,Entée,Porc
Beignet chocolat,Dessert,Pâtes
Choux blancs bio à la mimolette,Entrée,Légumes
Riz basmati,Accompagnement,Riz
Nouvel an chinois,,
Salade de fruits exotiques et Lychee au sirop,Dessert,Fruits
Canard sauce aigre douce,Plat,Canard
Nem,Entrée,
Pomme bio,Dessert,Pomme
Nuggets de poisson,Plat,Poisson
Epinards,Accompagnement,Légumes
Fromage Belle de Nantes bio,Fromage,Fromage
Taboulé,Entrée,Légumes
gruyère),Fromage,Fromage
Orange,Dessert,Fruits
Salade de lentilles bio (lentilles bio,Entrée,Légumes
maïs,Accompagnement,Légumes
Marmelade de pommes,Dessert,Fruits
Saucisse de Toulouse bio,Plat,Porc
Carottes râpées bio,Entrée,Légumes
Liégeois chocolat,Dessert,Lait
Poisson en sauce marmite du Perray,Plat,Poisson
Pommes de terre sautés (potatoes roty),Accompagnement,Pomme de terre
Sauté de veau bio\r\n des Pays de Loire,Plat,Veau
Pâtes bio,Accompagnement,Pâtes
Salade verte aux noix,Entrée,Salade
Yaourt bio,Dessert,Lait
Omelette,Plat,Oeufs
Roulé au fromage,Entrée,Fromage
Confit Ratatouille/riz,Plat,Légumes
Camembert,Fromage,Fromage
Kiwi bio,Dessert,Fruits
Endives au surimi et pommes,Entrée,Légumes
Crème caramel,Dessert,Lait
chili de boeuf Socopa BBC,Plat,Boeuf
riz basmati,Accompagnement,Riz
Rôti de porc,Plat,Porc
Pommes noisettes,Accompagnement,Pomme de terre
Yaourt mixé aux fruits,Dessert,Lait
ketchup,Accompagnement,Sauce
Choux rouges bio au chèvre,Entrée,Légumes
Paupiette de dinde,Plat,Volaille
Poêlée rustique OFD,Accompagnement,Légumes
Tomme noire,Fromage,Fromage
Banane,Dessert,Banane
Salade maïs / betteraves,Entrée,Légumes
Flan de poireaux / carottes bio,Entrée,Légumes
Cantal,Fromage,Fromage
Poisson meunière,Plat,Poisson
Tarte grillée aux pommes,Dessert,Fruits
Concombres,Entrée,Concombre
Pilons de poulet confit,Plat,Volaille
Haricots verts/beurre,Accompagnement,Légumes
Pizza,Plat,Pâtes
Edam,Fromage,Fromage
Ananas,Dessert,Fruits
Pomme bio,Dessert,Pomme
Crème de gruyère,Entrée,Fromage
Salade de riz californien,Entrée,Riz
Cassolette de poisson,Plat,Poisson
Gratinée de légumes,Accompagnement,Légumes
Chou rave bio,Entrée,Légumes
Pomme noisettes,Accompagnement,Pomme de terre
Sauté de boeuf,Plat,Boeuf
Fromage blanc / abricot sec,Dessert,Lait
Mâche / demi-oeuf,Entrée,Salade
Galette de soja tomate/basilic,Plat,Soja
Pâtes bio,Accompagnement,Pâtes
sauce tomate,Accompagnement,Sauce
Sojasun citron,Fromage,Soja
filet de poulet,Plat,Volaille
Lait bio,Dessert,Lait
Fondant au chocolat,Dessert,Chocolat
Ratatouille agro,Accompagnement,Légumes
Endives à la mimolette,Entrée,Légumes
Purée de légumes verts,Accompagnement,Légumes
Gruyère,Fromage,Fromage
sauté de veau,Plat,Veau
Salade de fruits frais,Dessert,Fruits
Salade Sombrero 5/1,Entrée,Salade
Poisson beurre blanc,Plat,Poisson
fromage Belle de Nantes,Fromage,Fromage
Betteraves,Entrée,Légumes
Kiwi bio,Dessert,Fruits
pommes parisienne ( skin on) (Mac Cain frais),Accompagnement,Pomme de terre
Creme chocolat bio,Dessert,Chocolat
Sandwich thon,Plat,Poisson
Chips,Accompagnement,
PPMS,,
Compote indiv,Dessert,Fruits
Tarte au fromage,Plat,Fromage
Poisson meunière,Plat,Poisson
Pomme bio,Dessert,Pomme
Courgettes à la tomate,Accompagnement,Légumes
Radis / beurre,Entrée,Légumes
PA jeudi avec volaille,Plat,Volaille
Yaourt fermier  bio,Dessert,Lait
Paëlla,Plat,Riz
Gaspacho,Entrée,Légumes
Rôti de boeuf au jus,Plat,Boeuf
Banane,Dessert,Banane
Chaussée aux Moines,Fromage,Fromage
Gratinée de légumes,Accompagnement,Légumes
Sauté de porc BBC,Plat,Porc
Lait bio,Dessert,Lait
Purée de légumes verts,Accompagnement,Légumes
SAUCE Dijonnaise,Accompagnement,Sauce
PA lundi avec porc,Plat,Porc
Beignet pomme,Dessert,Fruits
Carottes râpées bio,Entrée,Légumes
Poisson en sauce Nicoise,Plat,Poisson
Po rissolées,Accompagnement,Pomme de terre
Compote Pomme-Abricot bio C&Alice,Dessert,Fruits
Belle de Nantes,Fromage,Fromage
Salade carnaval,Entrée,Salade
Yaourt aux fruits mixés,Dessert,Lait
Salade verte au thon,Entrée,Salade
Pâtes à la Bolognaise avec égrené BBC,Plat,Pâtes
et gruyère râpé,Fromage,Fromage
Choux blancs bio mimolette,Entrée,Légumes
Rôti de dinde,Plat,Volaille
Frites,Accompagnement,Pomme de terre
ketchup,Accompagnement,Sauce
Compote bio Manger bio,Dessert,Fruits
Pizza,Plat,Pâtes
Edam,Fromage,Fromage
Poisson meunière,Plat,Poisson
Kiwi bio,Dessert,Fruits
Brocolis à la crème,Accompagnement,Légumes
Tarte au fromage,Plat,Fromage
Jambon fumé,Entrée,Porc
Salade de fruits frais,Dessert,Fruits
Tomme noire,Fromage,Fromage
Poêlée de légumes Collet,Accompagnement,Légumes
Macédoine mayonnaise,Entrée,Légumes
Yaourt aromatisé,Dessert,Lait
Parmentier de poisson,Plat,Poisson
Salade verte,Entrée,Salade
Lasagnes,Plat,Pâtes
Abricots secs,Dessert,Fruits
Yaourt bio,Dessert,Lait
Rillettes de thon/citron,Entrée,Poisson
Rôti de porc,Plat,Porc
Pommes noisettes,Accompagnement,Pomme de terre
Ile flottante,Dessert,Oeufs
Melon,Entrée,Melon
ketchup,Accompagnement,Sauce
Lait bio,Dessert,Lait
Eclair chocolat,Dessert,Chocolat
Carottes bio,Accompagnement,Légumes
Poisson au beurre blanc,Plat,Poisson
Concombres vgte,Entrée,Concombre
Céleri bio rémoulade,Entrée,Légumes
Riz basmati,Accompagnement,Riz
poisson pané,Plat,Poisson
sauce tomate,Accompagnement,Sauce
Yaourt aux fruits mixés,Dessert,Lait
ST Nectaire,Fromage,Fromage
Pilon de poulet,Plat,Volaille
Ratatouille fraîche Collet,Accompagnement,Légumes
Melon,Entrée,Melon
Tarte normande aux pommes,Dessert,Fruits
kiwi,Dessert,Fruits
Sauté de veau marengo,Plat,Veau
Roulé au fromage,Entrée,Fromage
Camembert,Fromage,Fromage
Poêlée rustique,Accompagnement,Légumes
Fraises au sucre,Dessert,Fruits
Fromage Belle de Nantes,Fromage,Fromage
Betteraves,Entrée,Légumes
Poisson sauce normande,Plat,Poisson
Pommes vapeur bio,Accompagnement,Pomme de terre
Oeufs durs mayo,Entrée,Oeufs
Salade verte,Entrée,Salade
Yaourt aromatisé,Dessert,Lait
Hachis Parmentier,Plat,Pomme de terre
Crème chocolat bio,Dessert,Chocolat
Choux rouges,Entrée,Légumes
Tagine de dinde,Plat,Volaille
Semoule,Accompagnement,Blé
Tarte au citron,Dessert,Fruits
Gouda,Fromage,Fromage
Petits pois maraîchers,Accompagnement,Légumes
Radis/beurre,Entrée,Légumes
Rôti de boeuf/ketchup,Plat,Boeuf
Fruit de saison,Dessert,fruits autre
Salade Western,Entrée,Salade
Epinards,Accompagnement,légumes autres
Chanteneige,Fromage,Fromage
Poisson meunière FRAIS Cité marine,Plat,Poissons
Marmelade de pommes,Dessert,fruits autre
tarte au fromage,Dessert,Fromage
Sauté de porc BBC aux pruneaux,Plat,Porc
Banane,Dessert,Banane
Fruit de saison,Dessert,fruits autre
Rillettes de thon/citron salade,Entrée,Poissons
Tomme blanche,Fromage,Fromage
Tortilla,Plat,Oeuf
Ratatouille agro,Accompagnement,légumes autres
Crème vanille,Dessert,Lait
Pastèque,Entrée,Fruit
Poisson au beurre blanc,Plat,Poissons
Po rissolées,Accompagnement,pomme de terre
Melon,Entrée,Fruit
Pommes campagnardes (quartiers avec peau en frais),Accompagnement,pomme de terre
Dessert végétal abricot goyave,Dessert,fruits autre
Poulet dAncenis,Plat,Volaille
Poisson + sauce thym et citron,Plat,Poissons
tarte abricots,Dessert,fruits autre
Le ptit Cabrey,Fromage,Fromage
Carottes râpées bio,Entrée,légumes racines
Flan de courgettes bio,Plat,légumes autres
Fruit de saison,Dessert,fruits autre
Pizza,Plat,Fromage
Haricots verts/ haricots beurre,Accompagnement,légumes autres
Escalope de dinde cuite,Plat,Volaille
Gaspacho,Entrée,légumes autres
Gratin de choux fleurs,Plat,type chou
Petits pané de poisson,Plat,Poissons
Banane,Dessert,Banane
Camembert,Fromage,Fromage
Choux rouges / demi-oeuf,Entrée,type chou
Chili de légumes,Plat,légumes autres
Petits suisses aro,Fromsert,Lait
Riz basmati,Accompagnement,Riz
Filet de poulet au jus,Plat,Volaille
Radis / beurre,Entrée,légumes racines
Compote stock,Dessert,fruits autre
Tomme noire,Fromage,Fromage
Gratinée de légumes,Plat,légumes autres
Pommes sautées surgelées,Accompagnement,pomme de terre
Fromage blanc / fraises,Dessert,Lait
Betteraves,Entrée,légumes racines
Poisson  sauce Verdurette,Plat,Poissons
St Paulin,Fromage,Fromage
Abricots,Dessert,fruits autre
Chips,Accompagnement,pomme de terre
Rôti de dinde froid/mayonnaise dosette,Plat,Volaille
Pastèque,Entrée,Fruit
Hachis Parmentier*,Plat,pomme de terre
Île flottante,Dessert,Lait
Melon,Entrée,Fruit
 -,Plat,
Salade verte,Entrée,Salade
Prunes Reine-Claude,Dessert,fruits autre
Filet de poisson meunière,Plat,Poissons
Tarte au fromage,Dessert,Fromage
Courgettes à la tomate,Accompagnement,légumes autres
Haché de poulet*,Plat,Volaille
Pizza au fromage,Plat,Fromage
Pomme bio°,Dessert,fruits autre
Camembert,Fromage,Fromage
Petits pois,Accompagnement,légumes autres
Saumon sauce normande,Plat,Poissons
Concombres,Entrée,légumes autres
Pommes rissolées,Accompagnement,pomme de terre
Yaourt  fermier  bio°,Dessert,Lait
Emincé de boeuf* thaï,Plat,Boeuf
Riz basmati,Accompagnement,Riz
Pastèque,Entrée,Fruit
Liégeois chocolat,Dessert,Lait
Purée de légumes verts,Accompagnement,légumes autres
Omelette bio,Plat,Oeuf
Fromage Belle de Nantes°,Fromage,Fromage
Poire,Dessert,fruits autre
Salade de pâtes Napoli,Entrée,pâtes
Melon,Entrée,Fruit
Semoule bio,Accompagnement,Blé Seigle
Boulettes de boeuf* en tajine,Plat,Boeuf
Crème dessert vanille,Dessert,Lait
Pilon de poulet confit,Plat,Volaille
Lentilles bio,Accompagnement,Legumineuse autre
Yaourt aromatisé,Dessert,Lait
Salade verte aux dés de chèvre,Entrée,Salade
Lait bio,Dessert,Lait
Gratin de choux fleurs,Plat,type chou
tarte pomme speculoos,Dessert,fruits autre
Radis,Entrée,légumes racines
Poisson pané,Plat,Poissons
brocolis),Accompagnement,légumes autres
Crêpe au fromage,Plat,Fromage
Raisin,Dessert,Bais et Raisins
FROMAGE FONDU,Fromage,Fromage
Sauté de veau* à la basquaise,Plat,Veau
haricots verts,Accompagnement,légumes autres
pdt,Accompagnement,pomme de terre
Poêlée de légumes (carottes,Accompagnement,légumes autres
Fromage Chanteneige,Fromage,Fromage
Filet de poisson meunière,Plat,Poissons
Epinards à la crème,Accompagnement,légumes autres
Salade carnaval (mais,Entrée,légumes autres
tomates,Entrée,légumes autres
Poire,Dessert,fruits autre
concombres),Entrée,légumes autres
Biscuit Petit Lu,Dessert,Blé Seigle
Crème dessert chocolat bio°,Dessert,Lait
Mogettes,Accompagnement,Legumineuse autre
Carottes râpées bio,Entrée,légumes racines
Saucisses de porc bio,Plat,Porc
Salade verte / demi-oeuf bio,Entrée,Salade
Ratatouille/blé bio,Accompagnement,légumes autres
Galette de soja tomate/basilic et sauce tomate,Plat,Soja et composé
Yaourt aux fruits mixés,Dessert,Lait
jus de veau menu,Plat,Veau
Lait bio,Dessert,Lait
Demi-pamplemousse,Entrée,agrumes
Fondant au chocolat,Dessert,Sucre blanc
Haricots verts/haricots beurre,Accompagnement,légumes autres
Escalope de dinde,Plat,Volaille
brocolis),Accompagnement,légumes autres
Gratinée de légumes (pdt,Plat,légumes autres
Gaspacho / croûtons,Entrée,légumes autres
Banane,Dessert,Banane
Fromage fondu au chèvre,Fromage,Fromage
Rôti de boeuf*,Plat,Boeuf
carottes,Accompagnement,légumes racines
Timbale de pâtes aux lardons,Plat,pâtes
Suisse aromatisé,Fromage,Fromage
Salade de tomates au surimi,Entrée,légumes autres
Pommes de terre sautées,Accompagnement,pomme de terre
Fromage bio,Fromage,Fromage
Pomme bio°,Dessert,fruits autre
Betteraves,Entrée,légumes racines
Poisson,Plat,Poissons
Concombres sauce crème,Entrée,légumes autres
Coulis de fruit ( menus),Dessert,fruits autre
Fromage blanc,Dessert,Lait
Lasagnes* napolitaines,Plat,pâtes
Salade verte,Entrée,Salade
Raisin,Dessert,Bais et Raisins
Frites,Accompagnement,pomme de terre
Sauté de canard sauce maraichère,Plat,Canard
Choux blancs bio° à la mimolette,Entrée,type chou
Galettes de légumes,Plat,légumes autres
Tarte aux pommes,Dessert,fruits autre
Rôti de dinde au jus,Plat,Volaille
Radis,Entrée,légumes racines
Cantal,Fromage,Fromage
Purée de légumes verts,Accompagnement,légumes autres
Poisson pané,Plat,Poissons
Poire,Dessert,fruits autre
Fromage Le Mouillotin,Fromage,Fromage
Taboulé,Entrée,légumes autres
Filet de poulet aux senteurs boisées,Plat,Volaille
Tortillas nature,Accompagnement,Maïs
Poêlée de légumes,Accompagnement,légumes autres
Houmous,Entrée,Légumineuse autre
Fromage Belle de Nantes°,Fromage,Fromage
Clémentines,Dessert,fruits autre
Rôti de porc au jus°,Plat,Porc
Lentilles bio,Accompagnement,Légumineuse autre
Yaourt  fermier  bio°,Dessert,Lait
Demi-pamplemousse,Entrée,agrumes
Filet de poisson meunière,Plat,Poissons
Lait bio,Dessert,Lait
Salade carnaval au soja,Entrée,Soja et composé
Gâteau aux légumineuses,Dessert,Légumineuse autre
Purée de courge maison,Accompagnement,Légumineuse autre
Galette de céréales et légumineuses,Plat,Céréales
Sauce au curry menu,Accompagnement,Légumineuse autre
Pomme bio°,Dessert,fruits autre
Carottes à lindienne,Accompagnement,légumes racines
Salade verte aux noix et chèvre,Entrée,Salade
Edam,Fromage,Fromage
Roulé au fromage,Plat,Fromage
Poire,Dessert,fruits autre
Petits pois,Accompagnement,légumes autres
Jambon fumé,Plat,Porc
Purée de pommes bio°,Accompagnement,fruits autre
Choux rouge bio au thon,Entrée,type chou
Tortis à la bolognaise*,Plat,pâtes
Compote pomme  / abricot bio,Dessert,fruits autre
Raviolis de légumes,Plat,légumes autres
Salade verte aux dés de chèvre,Entrée,Salade
Filet de poisson meunière,Plat,Poissons
tarte pomme speculoos,Dessert,fruits autre
Céleri rémoulade bio,Entrée,légumes racines
Gouda,Fromage,Fromage
Courgettes à la tomate,Accompagnement,légumes autres
brocolis),Accompagnement,légumes autres
Haché de poulet*,Plat,Volaille
sauce au poivre,Accompagnement,
Banane,Dessert,Banane
haricots verts,Accompagnement,légumes autres
Morbier,Fromage,Fromage
Poêlée de légumes (carottes,Accompagnement,legumes autres
Potage tomate/vermicelle,Entrée,Tomates
Frites,Accompagnement,pomme de terre
Boulettes de boeuf sauce tomate,Plat,Boeuf
Crème dessert végétal au chocolat,Dessert,Sucre Cannes
Salade de mâche au thon,Entrée,agrumes
Lait bio,Accompagnement,Lait
Purée aux quatres légumes verts,Accompagnement,legumes autres
Gateau au lait 500 gr,Dessert,Lait
Choux blancs bio° à la mimolette,Plat,type chou
Rôti de boeuf*,Plat,Boeuf
Yaourt fermier bio°,Fromage,Lait
Sauté de porc bio aux pruneaux,Plat,Porc
Purée de pommes de terre,Accompagnement,pomme de terre
Demi-pamplemousse,Entrée,agrumes
Clémentines,Dessert,agrumes
Paëlla au poulet,Plat,Volaille
Betteraves aux dés de gruyère,Entrée,legumes racines
Galettes de légumes,Plat,legumes autres
Salade verte aux noix,Entrée,legumes autres
Fromage Belle de Nantes°,Fromage,Fromage
Beignet au chocolat,Dessert,Sucre Cannes
Saute de veau,Plat,Veau
Poêlée de légumes,Accompagnement,legumes autres
Pomme bio°,Dessert,fruits autre
Camembert,Fromage,Fromage
Filet de lieu au beurre blanc,Plat,Poissons
Salade de pâtes Napoli,Entrée,Blé Seigle
Potage de légumes,Entrée,legumes autres
Omelette bio,Plat,oeufs
Croûtons,Accompagnement,Blé Seigle
Ratatouille,Accompagnement,legumes autres
Banane,Dessert,Banane
Emmental,Fromage,Fromage
Concombres,Entrée,legumes autres
Tomates,Entrée,Tomates
Fromage Chanteneige,Fromage,Fromage
Salade de lentilles bio (lentilles bio,Entrée,Legumineuse autre
